Sentence,Score
"Возможные судебные иски могут снизить привлекательность компании, ухудшить ее репутацию",-1
"Претензии со стороны государственных органов могут снизить привлекательность компании, ухудшить ее репутацию",-1
Вероятность потери активов при реализации может привести к убыткам,-1
"Возникновение судебных процедур/ издержек может снизить привлекательность компании, ухудшить ее репутацию",-1
Ущерб деловой репутации крайне негативно скажется на компании,-1
"Распространение недостоверной негативной информации в отношении предприятий Компании, акционеров и персонала отрицательно скажется на компании",-1
"Негативное воздействие на окружающую среду в части выбросов, сбросов и отходов, потребления воды и энергии крайне опасно для имиджа компании",-1
Несоответствие требованиям природоохранного законодательства негативно скажется на имидже компании,-1
"Введение новых производственных мощностей, не соответствующих экологическим критериям, может привести к серьезным проблемам",-1
Накопленный эффект негативного воздействия на окружающую среду крайне отрицательно отразится на компании,-1
Потеря деловой репутации приведет к серьезным негативным последствиям для компании,-1
"Претензии со стороны государственных органов могут снизить привлекательность компании, ухудшить ее репутацию",-1
Возможные судебные иски ухудшают имидж компании,-1
Несчастные случаи на производстве могут приводить к проблемам в долгосрочном периоде,-1
Возникновение профессиональных заболеваний у сотрудников крайне негативно скажется на имидже компании,-1
"Аварии и инциденты могут приводить к смерти, ухудшению здоровья, травмированию сотрудников ",-1
Брак оборудования может приводить к опасным производственным инцидентам,-1
"Несчастные случаи в связи с дорожно-транспортными происшествиями могут закончиться летальным исходом или серьезными травмами, что крайне отрицательно скажется на компании",-1
Подверженность сотрудников заболеваниям в связи с общим ослаблением иммунитета вызывает опасения компании,-1
Нарушение сотрудниками инструкций по технике безопасности может привести к опасным производственным травмам,-1
Недостаточный мониторинг опасных факторов и возникающих рисков может привести к травмированию или серьезному ухудщшнию здоровья сотрудников,-1
"Введение в эксплуатацию оборудования, не прошедшего проверку и недостаточный контроль состояния существующего оборудования, может привести к травмам и потенциальному летальному исходу",-1
Износ оборудования может вызвать опасные производственные травмы,-1
Ущерб деловой репутации крайне негативно скажется на компании,-1
Ослабление бренда работодателя крайне негативно скажется на привлекательности компании,-1
"В отчетном периоде на горячую линию поступило 120 обращений, из которых по результатам проведенных проверок был подтвержден 31 случай нарушений ",0
"Также в отчетном периоде был проведен ряд проверок внешними надзорными органами, которые выявили несоответствия экологическому законодательству, что указывает на проблемы с соблюдением экологических стандартов. ",-1
Общий размер штрафов составил 200 тыс. руб. ,0
"Общий объем отходов в отчетном периоде увеличился, что указывает на ухудшение влияния на окружающую среду",-1
"Общее водопотребление увеличилось по сравнению с предыдущим отчетным периодом, что негативно сказывается на экологии",-1
"Общий объем выбросов в атмосферу в текущем году увеличился по сравнению с предыдущим годом, что указывает на ухудшение влияния на экологию",-1
"В отчетном периоде суммарный объем прямых выбросов диоксида углерода увеличился по сравнению с предыдущим периодом, что связано с увеличением производства продукции.",-1
В отчетном периоде на территории предприятий холдинга зафиксировано три несчастных случая со смертельным исходом,-1
Списочная численность сотрудников на конец года меньше по сравнению с предыдущим отчетным периодом.,-1
"В 2018 году показатель LTIFR по Группе компания составил 0,24 и вырос на 28% по сравнению с 2017 годом. ",-1
"Общий уровень травматизма на 1000 работников составил 1,79 и показал рост относительно 2017 года на 24%, что говорит о проблемах с обеспечением безопасности труда. ",-1
"Коэффициент тяжести травм (средняя продолжительность временной нетрудоспособности на одного пострадавшего при несчастных случаях) вырос на 20,3%, что указывает на ухудшение промышленной безопасности.",-1
"Коэффициент частоты травм с утратой трудоспособности в 2018 году по Компании вырос по сравнению с прошлым годом, что говорит о снижении безопасности труда",-1
"В 2018 г. было зафиксировано 53 травмы с временной потерей трудоспособности, из которых 42 были получены сотрудниками компании, и 11 – работниками подрядчиков. Это негативно сказалось на уровне промышленной безопасности.",-1
"Частота несчастных случаев на производстве на 1 млн человеко–часов (LTIFR) выросла по сравнению с прошлым годом, что говорит об ухудшении ситуации с промышленной безопасностью",-1
"К сожалению, в 2018 году произошло два несчастных случая со смертельным исходом.",-1
В ноябре работник подрядной организации на руднике Ковдорского месторождения погиб в результате обрушения стены траншеи.,-1
В июле работник подрядной организации погиб в результате падения с высоты на заводе в Невинномысске. ,-1
В текущем году мы получили 1039 жалоб сотрудников на практику трудовых отношений. Жалобы указывают на неудовлетворенность условиями труда. ,-1
В текущем году произошло 27 несчастных случаев.,-1
"В прошлом году не удалось избежать смертельных травм на двух собственных предприятиях, а также допущена смертельная травма с работником подрядной организации.",-1
В компании травмы были получены в результате нахождения работника в опасной зоне перемещаемого груза и вследствие нарушения технологии проведения ремонтных работ.,-1
"Компания относится к отрасли с высокими показателями профессиональной заболеваемости, связанными с работой шахтеров во вредных условиях. ",-1
Допущено два смертельных несчастных случая,-1
"Прошлый год был достаточно непростым для российской нефтегазовой отрасли с точки зрения макроэкономических условий, близким к условиям кризиса. ",-1
Неспособность привлекать и удерживать персоналсс нужными навыками и опытом может негативно сказаться на привлекательности компании как работодателя.,-1
"Данные риски могут возникать вследствие поломок или отказа оборудования, стихийных бедствий, терактов, действия или бездействия персонала. ",-1
"Любой из этих факторов риска может оказать существенное негативное влияние на бизнес, финансовое состояние, результаты деятельности и репутацию.",-1
Компания подвержена серьезным рискам в отношении безопасности сотрудников и своей производственной деятельности. ,-1
"Риск может привести к возникновению гражданской ответственности и необходимости работ по устранению ущерба, что послужит обремением для компании. ",-1
Производственная деятельность сопряжена с потенциальным риском нанесения ущерба окружающей среде или ее загрязнения. ,-1
"Цель достигнута частично. На производстве произошли две аварии.
",-1
"Цель в 2016 г. не достигнута. Удельные валовые выбросы увеличились в связи с наращиванием объемов добычи, строительством и вводом в эксплуатацию новых объектов инфраструктуры",-1
"К глубочайшему сожалению, в отчетном году Компании не удалось полностью исключить несчастные случаи со смертельным исходом на производстве.",-1
"На Московском НПЗ при проведении работ на компрессоре произошло разрушение фланца цилиндра и взрыв водородосодержащего газа, в результате чего погиб один работник.",-1
В Киргизии несчастный случай произошел при ремонте автомобиля водителем. ,-1
"В Ханты-Мансийском автономном округе – Югре произошло ДТП, в котором погиб водитель подрядной организации.",-1
"Снижение цен на углеводороды может привести к уменьшению выручки, прибыли и денежного потока ",-1
"Длительный период низких цен на нефть и нефтепродукты может оказать негативное влияние на реализацию запланированных проектов в добыче и переработке углеводородного сырья, привести к снижению инвестиций и обесценению активов Компании.",-1
"Инфляционный риск может привести к росту расходов, снижению рентабельности текущей деятельности и недостижению ожидаемой доходности реализуемых проектов.",-1
"Компания подвержена рискам изменения законодательства в области валютного, налогового, таможенного и антимонопольного регулирования, а также лицензирования нефтегазовой отрасли, которые могут привести к негативным последствиям. ",-1
"Являясь участником внешнеэкономической деятельности, компания подвержена рискам ужесточения процедур таможенного контроля при перемещении товаров через таможенную границу Российской Федерации, что может негативно сказаться на экспортной деятельности. ",-1
"Реализация данных рисков может привести к увеличению затрат времени, отвлечению финансовых ресурсов и снижению операционной эффективности работы Компании.",-1
"Изменение нормативно-правового регулирования в части лицензирования недр является существенным риском и может негативно отразиться на планах Компании по расширению территории присутствия, привести к росту расходов и снижению показателей рентабельности. ",-1
"Принятие неверных управленческих решений, касающихся инвестиций в новые проекты, может привести к увеличению стоимости и сроков их реализации, нарушению хода текущей деятельности, снижению операционной эффективности Компании, стать причиной нехватки материально-технических, трудовых, финансовых и управленческих ресурсов.",-1
"Объем валовых выбросов загрязняющих веществ в атмосферу от деятельности Компании в 2017 году увеличился на 0,361 млн. тонн, что говорит о росте негативного влияния на окружающую среду",-1
"Последствиями реализации данных рисков могут стать рост расходов, снижение операционной эффективности и финансовых результатов Компании.",-1
Наш отчет подготовлен в соответствии с лучшими передовыми российскими и международными практиками и стандартами отчетности в области устойчивого развития GRI. ,1
"Отчет отражает основные итоги работы компании, охватывает финансовые, производственные, социальные, экологические аспекты деятельности и устойчивого развития. ",0
"Компания сосредоточится на разведке и добыче алмазов и будет стремиться сохранять и укреплять статус мирового лидера по добыче и объемам ресурсной базы, эффективного, успешного и ответственного участника экономических процессов. ",1
"Компания продолжит работу по выходу из непрофильных активов, повышению эффективности во всех сферах деятельности, реализации социальной ответственности в регионах присутствия, чтобы достигнуть успешных результатов. ",1
Деятельность Компании будет направлена на эффективное управление социально-ответственным бизнесом с целью реализации долгосрочных интересов акционеров.,1
"Только в 2018 году компания направила на социальные инвестиции 9,3 млрд руб., по этому показателю компания — одна из лидирующих компаний России",1
"Каждый год компания реализует порядка 500 благотворительных и социальных инициатив, которые улучшают уровень жизни общества и приносят пользу местным сообществам.",1
"Операционные и финансовые результаты, которые сегодня демонстрирует компания, подтверждают эффективность выбранной Компанией модели развития вселяют уверенность. ",1
"Уверен, что дальнейшая реализация стратегии позволит компании продолжить укрепление лидирующих позиций на рынке — обеспечивать устойчивый рост добычи, увеличение выручки, повышение инвестиционной привлекательности и акционерной стоимости.",1
Мы продолжаем оставаться одним из лидеров в области социальной и экологической ответственности.,1
Группа компания содействует комплексному социально-экономическому развитию территорий своего присутствия. ,1
"Достижения Компании в социальной сфере регулярно получают высокие оценки и признание, что свидетельствует об их успешности. ",1
"Так, например, госкомитет Республики Саха (Якутия) по занятости населения отметил компанию как лучшего работодателя 2018 года, признав успехи компании в создании комфортных условий труда. ",1
Группа была признана одним из лидеров ежегодного конкурса «Лидеры корпоративной благотворительности» среди российских и международных компаний и вошла в число лидеров двух индексов РСПП в области устойчивого развития: «Ответственность и открытость» и «Вектор устойчивого развития». ,1
"Кроме того, компания стала одним из лидеров итогового рейтинга экологической и энергетической эффективности крупнейших компаний России и Казахстана, работающих в реальном секторе экономики.",1
Компания заботится о максимальной эффективности использования ресурсов и стремится применять все побочные продукты добычи и производства.,1
"Поддерживая идею эффективного использования ресурсов, Компания отправляет на повторное использование значительную долю выработанных отходов, что положительно влияет на окружающую среду.",1
"В отчетном периоде Компании удалось добиться существенного увеличения объемов утилизации (на 8,4%), передачи отходов другим организациям (на 6,8%) и снижения объема захораниваемых отходов (на 2%).",1
Объем многократно используемой воды на комбинатах рассчитывается методом водного баланса в системах оборотного водоснабжения.,0
Компания своевременно и эффективно обеспечивает меры по предупреждению аварий на водных объектах. ,1
 Установка аспирационной системы позволила существенно снизить количество неорганизованных выбросов и улучшить влияние на экологию.,1
Реализованные мероприятия благоприятно сказались на биоразнообразии региона и позволили снизить пылеобразование.,1
"Выбросы парниковых газов образуются, в первую очередь, при сжигании природного газа и угля при изготовлении стальной продукции, чугуна и ГБЖ/ПВЖ на комбинатах металлургического сегмента.",0
"Компания стремится соответствовать высочайшим отраслевым стандартам и регулярно принимает представителей Ассоциации, которые проводят аудит предприятий Компании на предмет соответствия требованиям безопасности и охраны труда. ",0
"В отчетном периоде Компания начала системно предоставлять ассоциации количественные данные по экологическим показателям, охране труда и промышленной безопасности, а также по кадровым показателям. ",0
Все предприятия Компании прошли сертификацию и отвечают международным требованиям в области энергоэффективности.,0
"Компания ежегодно инвестирует средства в обеспечение охраны труда и производственной безопасности своих сотрудников, чтобы улучшить условия труда.",1
"Запуск Программы связан со стремлением Компании, значительная доля сотрудников которой занята на работах с вредными и опасными условиями труда, повысить эффективность медицинских осмотров, предусмотренных российским законодательством.",0
"Осознавая высокие риски для здоровья, связанные с реализацией производственных процессов, компания заботится о максимальной безопасности рабочих мест.",1
Значительные усилия Компании также направлены на снижение нагрузки на окружающую среду и сохранения биоразнообразия: мы признаем и уважаем права жителей на благоприятную окружающую среду. ,1
Непрерывное обучение и развитие сотрудников – приоритетная задача для компании и инвестиция в повышение производительности и эффективности деятельности.,1
"Система вознаграждения сотрудников включает в себя инструменты финансовой и нефинансовой мотивации, тем самым являясь достаточным и исчерпывающим стимулом для обеспечения их вовлеченной и продуктивной работы. Эта система позволяет увеличивать продуктивность и заинтересованность в работе. ",1
Размер заработной платы сотрудников предприятий обеспечивает достойный уровень благосостояния и соответствие установленным в регионах присуствия Компании стандартам качества жизни.,1
Компания придерживается принципа нулевой терпимости к коррупции в любых формах и проявлениях. Это один из принципов работы компании.,0
Устойчивое развитие для нас – основа и философия бизнеса. Мы сторонники бережного отношения к окружающей среде и очень внимательно относимся к своему влиянию на окружающую среду. Это наше приоритетное направление.,1
"Мы стремимся к индустриальному лидерству и уверены, что оно достижимо только через устойчивый рост и создание общих ценностей для всех заинтересованных сторон.",1
Главная роль в преобразованиях принадлежит людям - они находятся в центре внимания Компании. ,0
Наивысшим приоритетом для нас остается безопасность производства и охрана здоровья работников. Компания придерживается принципа нулевой терпимости к коррупции в любых формах и проявлениях.,1
"Компания направляет значительные усилия на проекты, связанные с минимизацией техногенного воздействия. Результаты придают нам уверенности в правильности выбранного пути и перспективах инвестиций в устойчивое развитие Компании.",1
"Компания сохранила лидирующие позиции и продолжил процесс трансформации, направленный на повышение эффективности и устойчивости.",1
"Мы стремимся к наивысшему качеству продукции, уделяем первостепенное внимание безопасности и защите жизни сотрудников. Обеспечиваем баланс интересов всех заинтересованных сторон. Используем наилучшие доступные технологии для снижения нагрузки на окружающую среду.",1
"Стратегическая цель Компании – быть поставщиком высококачественного сырья, вносящим вклад в устойчивое развитие мира.",1
"Компания продолжит делать все возможное для предотвращения происшествий, перенимать передовой опыт и технологии, а также развивать среди сотрудников культуру ответственного отношения к обеспечению собственной безопасности.",1
"Мы убеждены, что устойчивое развитие обеспечит долгосрочную конкурентоспособность и эффективность.",1
Существующая бизнес-модель обеспечивает Компании сохранение лидирующих позиций и ключевых преимуществ на рынке.,1
"Эффективная система корпоративного управления является фундаментом для построения доверительных отношений с акционерами, инвесторами, работниками и другими заинтересованными сторонами, что во многом способствует достижению целей Компании в области устойчивого развития",1
В соответствии с лучшими мировыми практиками управление вопросами устойчивого развития интегрировано в структуру корпоративного управления и осуществляется на всех организационных уровнях.,1
Особое внимание было уделено социальным вопросам – социальным проектам и взаимодействию со средними и высшими учебными заведениями.,0
"Посредством усилий, направленных на повышение эффективности, инновационности и безопасности производства, Компания вносит свой вклад в устойчивое развитие, повышая доверие, надежность и прозрачность в вопросах производственной безопасности и охраны окружающей среды.",1
"Участие в рейтинге позволило Компании определить свои сильные стороны
и области для улучшения в Стратегии и деятельности, которые были обозначены в дорожной карте.",1
"Предлагая продукцию, отвечающую высочайшим стандартам качества, компания стимулирует российский рынок к повышению экологичности производства.",1
Оценка эффективности использования энергетических ресурсов позволит компании грамотно трансформировать и постоянно совершенствовать бизнес-процессы.,1
"Внедрение наилучших доступных технологий (НДТ) на этапах строительства и модернизации производственных мощностей, участие в разработке научно технических справочников для содействия компаниям отрасли в снижении антропогенного воздействия на окружающую среду и многие другие меры положительного воздействия.",1
"Модернизация производственных мощностей и внедрение технологических решений, позволяющих значительно повысить эффективность расходования ресурсов (включая воду и электричество) и снизить углеродный след в ходе их эксплуатации.",1
"Ответственная кадровая политика, построенная на принципах равенства и недискриминации позволяет достигать выдающихся результатов и успешно функционирования компании. ",1
"Ответственная кадровая политика, построенная на принципах равенства и недискриминации, позволяет достигать выдающихся результатов и успешно функционирования компании. ",1
Проведение мероприятий по обмену опытом в области охраны труда и промышленной безопасности среди предприятий и сторонних компаний для внедрения лучших практик. Реализация проектов внутрикорпоративного тренерства по воспитанию лидеров в области охраны труда и промышленной безопасности.,1
"Реализация корпоративных программ развития и программ поддержки развития социальной инфраструктуры, в рамках которых инвестиции направляются на развитие и поддержание городской инфраструктуры регионов присутствия: поддержку деятельности медицинских, спортивно- оздоровительных, образовательных, культурных учреждений.",1
